person_id,gr9_fall_math,gr9_fall_sci,gr9_fall_eng,gr9_fall_hist,gr9_spring_math,gr9_spring_sci,gr9_spring_eng,gr9_spring_hist,gr10_fall_math,gr10_fall_sci,gr10_fall_eng,gr10_fall_hist,gr10_spring_math,gr10_spring_sci,gr10_spring_eng,gr10_spring_hist,gpa9,gpa10
71,4,4,4,0,0,4,1,4,NA,4,1,4,4,4,1,4,2.625,3.142857142857143
74,NA,NA,4,NA,4,4,4,1,4,1,4,4,1,1,NA,4,3.4,2.7142857142857144
77,1,NA,4,4,1,1,1,4,1,4,NA,NA,4,2,1,4,2.2857142857142856,2.6666666666666665
79,1,4,NA,2,NA,1,1,NA,NA,4,0,0,4,4,4,4,1.8,2.857142857142857
84,NA,4,4,NA,NA,NA,4,4,0,4,4,NA,4,NA,4,NA,4,3.2
85,NA,1,1,NA,4,1,4,1,4,4,4,NA,1,4,4,4,2,3.5714285714285716
87,NA,NA,4,4,4,4,NA,NA,4,4,4,4,1,4,1,4,4,3.25
88,1,0,NA,4,4,0,NA,NA,1,NA,1,4,NA,4,NA,1,1.8,2.2
89,4,4,1,1,NA,0,1,0,NA,NA,0,4,4,NA,NA,4,1.5714285714285714,3
90,1,4,4,2,4,NA,4,1,4,4,4,4,NA,4,NA,NA,2.857142857142857,4
91,1,NA,4,1,4,1,4,1,4,NA,4,NA,4,4,4,4,2.2857142857142856,4
92,1,1,0,4,1,4,4,1,NA,1,NA,4,1,NA,1,1,2,1.6
93,1,4,4,NA,4,NA,4,4,4,1,NA,4,1,NA,4,0,3.5,2.3333333333333335
95,4,1,4,4,4,1,1,4,1,4,1,4,4,NA,4,4,2.875,3.142857142857143
96,NA,1,NA,4,1,NA,4,NA,NA,1,1,4,4,NA,NA,4,2.5,2.8
98,4,4,NA,4,NA,1,4,4,1,4,4,4,1,NA,1,4,3.5,2.7142857142857144
100,4,NA,4,NA,1,4,NA,1,4,4,4,NA,4,4,4,1,2.8,3.5714285714285716
103,NA,4,1,2,4,4,4,NA,NA,1,NA,NA,1,1,1,4,3.1666666666666665,1.6
104,4,NA,4,1,4,4,NA,4,4,4,0,NA,4,NA,4,0,3.5,2.6666666666666665
107,4,4,4,4,NA,4,1,4,0,1,4,1,NA,4,1,NA,3.5714285714285716,1.8333333333333333
109,1,4,NA,4,4,0,4,NA,4,1,4,NA,1,1,0,4,2.8333333333333335,2.142857142857143
113,1,4,1,4,0,4,4,NA,NA,NA,4,1,NA,4,4,4,2.5714285714285716,3.4
115,1,NA,4,4,4,4,1,1,4,4,NA,NA,1,NA,4,4,2.7142857142857144,3.4
116,0,1,4,4,1,0,4,4,2,NA,0,NA,4,4,1,NA,2.25,2.2
117,1,4,NA,1,4,4,0,NA,4,1,1,1,4,1,1,4,2.3333333333333335,2.125
118,4,4,0,0,NA,0,NA,4,4,NA,0,4,NA,NA,4,4,2,3.2
119,1,4,0,4,1,NA,4,4,4,1,2,1,NA,4,NA,NA,2.5714285714285716,2.4
120,4,0,1,4,4,4,4,4,4,1,4,4,NA,1,1,1,3.125,2.2857142857142856
121,4,4,4,4,4,4,4,4,NA,1,4,4,4,1,4,4,4,3.142857142857143
125,4,4,0,4,NA,4,4,1,4,1,1,1,1,4,0,NA,3,1.7142857142857142
126,4,4,0,4,1,NA,0,NA,NA,4,1,4,1,4,4,1,2.1666666666666665,2.7142857142857144
127,NA,1,1,0,NA,1,4,NA,NA,4,4,4,1,4,4,4,1.4,3.5714285714285716
129,4,1,4,4,4,2,1,4,1,4,4,1,1,4,4,NA,3,2.7142857142857144
133,0,4,4,4,4,4,1,NA,4,NA,4,1,4,1,4,NA,3,3
134,0,4,4,0,1,1,4,4,NA,4,4,4,4,4,4,4,2.25,4
136,4,4,4,1,1,4,1,1,0,4,4,4,4,4,4,1,2.5,3.125
138,0,4,1,NA,1,NA,NA,4,4,NA,1,NA,NA,1,4,4,2,2.8
139,1,4,NA,4,NA,1,4,4,NA,1,4,1,4,NA,4,4,3,3
141,4,0,2,4,1,NA,4,1,4,1,4,4,1,1,4,1,2.2857142857142856,2.5
142,4,4,4,4,4,4,2,4,4,4,1,1,1,4,4,4,3.75,2.875
145,4,1,NA,4,0,1,4,4,4,4,0,4,4,4,4,1,2.5714285714285716,3.125
147,0,NA,4,4,NA,4,4,4,1,4,1,1,4,4,4,1,3.3333333333333335,2.5
151,4,4,NA,4,NA,2,4,2,1,4,4,1,0,NA,4,4,3.3333333333333335,2.5714285714285716
152,1,4,4,NA,4,4,4,NA,4,0,1,0,4,NA,NA,4,3.5,2.1666666666666665
154,4,1,4,NA,4,NA,4,4,4,4,1,4,4,NA,4,NA,3.5,3.5
155,1,1,NA,4,4,4,NA,NA,NA,4,4,4,0,4,4,4,2.8,3.4285714285714284
156,1,4,4,0,NA,NA,4,1,1,NA,NA,1,4,4,2,4,2.3333333333333335,2.6666666666666665
157,NA,0,4,1,4,1,1,1,4,4,1,4,1,4,4,1,1.7142857142857142,2.875
158,4,NA,4,4,4,1,4,4,4,4,4,4,2,4,0,4,3.5714285714285716,3.25
160,4,4,4,4,4,4,1,4,4,4,1,4,0,4,0,4,3.625,2.625
161,1,4,4,1,1,0,4,NA,NA,4,0,NA,0,4,1,4,2.142857142857143,2.1666666666666665
163,NA,1,4,4,1,1,NA,0,1,NA,4,1,4,NA,NA,0,1.8333333333333333,2
164,1,4,1,NA,NA,1,1,1,4,1,NA,1,1,0,1,1,1.5,1.2857142857142858
165,4,4,NA,1,4,NA,4,4,4,4,NA,1,4,1,NA,4,3.5,3
166,4,4,NA,1,4,1,1,1,4,0,1,1,1,1,4,1,2.2857142857142856,1.625
168,4,0,1,4,NA,4,1,NA,1,NA,4,4,NA,4,0,1,2.3333333333333335,2.3333333333333335
173,4,1,2,NA,4,4,4,4,1,4,4,4,NA,4,4,1,3.2857142857142856,3.142857142857143
176,4,1,NA,0,NA,4,1,4,0,4,4,1,4,4,1,4,2.3333333333333335,2.75
177,4,0,NA,4,NA,4,4,1,4,4,2,2,4,4,NA,4,2.8333333333333335,3.4285714285714284
182,4,1,NA,4,4,1,0,4,4,1,1,0,4,4,4,4,2.5714285714285716,2.75
183,2,4,NA,4,4,NA,1,4,NA,4,NA,4,1,0,1,4,3.1666666666666665,2.3333333333333335
187,NA,1,1,4,4,1,1,NA,NA,1,1,NA,4,1,1,1,2,1.5
189,4,NA,4,4,1,0,1,4,1,1,4,0,4,1,4,4,2.5714285714285716,2.375
193,1,4,4,0,4,4,1,1,4,4,1,NA,1,4,4,1,2.375,2.7142857142857144
196,4,4,1,4,4,0,4,4,2,4,NA,1,0,NA,1,NA,3.125,1.6
197,1,4,NA,4,NA,1,2,NA,1,4,NA,4,4,4,1,4,2.4,3.142857142857143
201,1,4,NA,4,4,4,4,4,4,4,4,1,0,4,4,4,3.5714285714285716,3.125
202,4,1,1,4,4,4,4,4,4,4,4,NA,4,1,1,4,3.25,3.142857142857143
203,4,4,4,NA,NA,4,1,4,4,1,NA,1,1,4,NA,NA,3.5,2.2
207,4,1,NA,4,NA,NA,4,4,4,1,4,4,1,0,1,4,3.4,2.375
208,0,1,NA,NA,NA,4,NA,4,4,1,1,4,4,NA,4,4,2.25,3.142857142857143
211,4,2,4,4,1,1,4,0,4,4,4,1,4,NA,1,NA,2.5,3
212,4,NA,0,4,1,1,4,1,1,4,4,NA,4,1,NA,1,2.142857142857143,2.5
214,4,NA,4,4,4,0,4,4,4,4,NA,1,1,0,4,NA,3.4285714285714284,2.3333333333333335
218,NA,0,1,NA,4,1,4,4,4,0,4,4,4,NA,4,4,2.3333333333333335,3.4285714285714284
219,1,1,NA,1,4,0,4,1,4,4,1,4,4,0,NA,4,1.7142857142857142,3
220,4,NA,1,1,4,4,4,1,4,4,4,0,1,4,1,4,2.7142857142857144,2.75
221,4,1,4,4,4,NA,4,4,NA,4,4,4,4,4,4,1,3.5714285714285716,3.5714285714285716
223,NA,NA,4,1,4,1,4,NA,4,2,1,1,4,4,NA,4,2.8,2.857142857142857
224,NA,1,1,4,1,1,4,NA,NA,4,4,1,4,1,0,1,2,2.142857142857143
225,4,NA,NA,NA,0,1,4,4,1,4,4,1,4,NA,4,4,2.6,3.142857142857143
226,1,4,4,NA,1,4,NA,0,1,4,0,4,NA,1,4,1,2.3333333333333335,2.142857142857143
228,NA,NA,1,NA,4,1,4,4,NA,4,4,4,NA,NA,1,4,2.8,3.4
229,NA,4,4,2,1,4,4,NA,1,NA,2,4,1,1,4,1,3.1666666666666665,2
231,4,1,0,0,4,NA,1,4,0,1,0,4,NA,1,4,1,2,1.5714285714285714
232,4,1,4,4,1,NA,NA,NA,NA,4,4,NA,4,NA,0,2,2.8,2.8
233,4,2,1,4,0,4,NA,4,4,1,1,4,NA,1,4,4,2.7142857142857144,2.7142857142857144
236,4,NA,1,4,1,1,0,4,1,1,4,NA,0,1,NA,4,2.142857142857143,1.8333333333333333
238,4,NA,0,2,4,4,4,NA,4,4,4,1,1,4,1,4,3,2.875
239,4,4,1,4,1,4,4,NA,1,NA,1,1,1,NA,1,NA,3.142857142857143,1
241,1,4,1,1,1,4,0,1,4,2,1,4,0,1,1,1,1.625,1.75
242,1,1,1,4,4,2,4,1,0,0,4,4,4,NA,0,4,2.25,2.2857142857142856
243,4,0,1,1,0,1,4,4,NA,0,0,4,4,4,4,NA,1.875,2.6666666666666665
244,1,NA,4,1,4,4,4,0,4,4,4,NA,NA,4,NA,4,2.5714285714285716,4
245,NA,1,NA,4,NA,NA,NA,NA,1,4,NA,NA,4,1,1,4,2.5,2.5
247,0,NA,2,0,1,4,4,4,1,1,4,4,1,4,0,4,2.142857142857143,2.375
250,4,4,1,NA,4,1,1,4,1,1,4,4,NA,1,4,NA,2.7142857142857144,2.5
251,0,1,NA,4,NA,0,4,4,4,4,4,4,1,NA,4,1,2.1666666666666665,3.142857142857143
257,1,0,NA,0,4,0,4,1,4,NA,4,4,4,NA,4,1,1.4285714285714286,3.5
260,1,4,1,4,4,4,4,NA,1,4,4,NA,0,1,1,0,3.142857142857143,1.5714285714285714
261,1,1,4,4,4,4,4,NA,NA,4,1,4,1,4,NA,4,3.142857142857143,3
262,NA,NA,NA,NA,1,4,4,4,4,NA,4,NA,NA,4,4,NA,3.25,4
264,4,4,NA,NA,NA,4,NA,NA,0,2,NA,2,NA,0,1,1,4,1
265,0,1,1,4,NA,4,4,NA,1,1,4,NA,4,0,4,4,2.3333333333333335,2.5714285714285716
268,4,4,4,1,4,1,4,1,1,NA,4,0,4,4,4,4,2.875,3
269,NA,4,1,1,4,4,NA,NA,0,1,NA,4,1,1,NA,4,2.8,1.8333333333333333
271,4,0,0,4,4,NA,4,NA,1,0,1,1,NA,NA,2,1,2.6666666666666665,1
272,NA,NA,NA,1,4,4,NA,4,1,NA,4,NA,4,4,1,4,3.25,3
273,NA,NA,0,4,4,4,1,4,1,1,NA,1,1,1,4,NA,2.8333333333333335,1.5
274,4,4,1,4,1,4,4,4,4,4,NA,NA,1,4,1,NA,3.25,2.8
279,4,4,1,4,4,4,NA,4,1,NA,NA,2,1,0,1,1,3.5714285714285716,1
280,4,2,1,1,NA,4,4,NA,4,4,1,1,4,4,NA,1,2.6666666666666665,2.7142857142857144
281,NA,1,4,4,4,1,4,4,4,1,NA,4,4,0,1,NA,3.142857142857143,2.3333333333333335
282,NA,4,4,NA,NA,1,4,NA,4,4,4,1,4,1,1,4,3.25,2.875
283,1,4,4,1,1,NA,4,0,0,0,0,4,1,4,1,4,2.142857142857143,1.75
284,4,4,4,NA,4,1,4,4,NA,4,NA,2,1,4,4,4,3.5714285714285716,3.1666666666666665
286,4,4,1,4,NA,4,0,4,0,4,4,4,1,4,4,NA,3,3
287,4,1,0,4,4,4,4,1,4,4,4,1,NA,4,NA,NA,2.75,3.4
288,0,2,4,1,NA,4,0,NA,4,1,1,4,1,4,1,4,1.8333333333333333,2.5
291,4,4,NA,4,4,NA,1,4,1,4,4,4,1,1,4,4,3.5,2.875
293,4,4,NA,4,1,4,4,1,NA,4,4,0,1,4,1,4,3.142857142857143,2.5714285714285716
294,0,NA,NA,NA,1,0,NA,NA,1,1,1,4,4,4,NA,2,0.3333333333333333,2.4285714285714284
295,NA,NA,4,4,4,1,1,4,4,4,1,1,4,NA,1,4,3,2.7142857142857144
296,4,NA,1,4,NA,1,NA,4,4,NA,1,NA,1,4,4,4,2.8,3
299,1,0,1,NA,1,4,0,4,4,NA,NA,4,1,1,4,1,1.5714285714285714,2.5
300,NA,4,4,NA,4,4,NA,1,4,4,1,4,1,NA,4,1,3.4,2.7142857142857144
302,4,4,4,4,NA,2,4,4,1,1,1,1,NA,4,0,1,3.7142857142857144,1.2857142857142858
303,NA,NA,1,1,4,4,NA,4,0,1,4,NA,NA,1,4,0,2.8,1.6666666666666667
304,NA,4,4,NA,4,4,4,4,1,1,4,NA,1,NA,4,1,4,2
305,2,4,4,4,1,NA,4,1,NA,4,1,4,4,1,NA,1,2.857142857142857,2.5
306,1,4,1,1,4,NA,4,4,4,NA,4,4,4,NA,NA,4,2.7142857142857144,4
307,NA,4,4,4,1,4,4,4,NA,4,4,1,1,4,1,1,3.5714285714285716,2.2857142857142856
309,NA,4,NA,1,NA,1,NA,1,1,4,4,NA,4,4,NA,0,1.75,2.8333333333333335
310,NA,NA,0,NA,NA,4,4,4,1,1,4,NA,1,4,1,4,3,2.2857142857142856
311,NA,NA,NA,4,4,1,NA,NA,1,NA,4,4,NA,NA,4,4,3,3.4
312,1,1,1,1,NA,4,0,4,NA,4,1,4,1,4,4,4,1.7142857142857142,3.142857142857143
314,4,4,NA,0,NA,4,NA,NA,4,1,4,1,1,4,4,1,3,2.5
315,NA,1,NA,0,NA,NA,1,1,4,1,4,0,4,4,1,1,0.75,2.375
317,NA,4,4,NA,1,1,4,NA,NA,4,4,1,4,0,1,0,2.8,2
318,1,NA,4,4,0,4,4,NA,NA,4,NA,1,1,1,4,4,2.8333333333333335,2.5
321,4,4,4,1,4,4,4,4,2,1,0,1,1,0,1,4,3.625,1.25
323,4,0,4,4,1,4,4,1,4,1,4,4,0,4,1,1,2.75,2.375
325,4,NA,2,4,1,1,1,0,4,4,1,1,4,0,4,4,1.8571428571428572,2.75
329,NA,4,1,4,4,4,4,4,4,1,4,4,4,1,1,4,3.5714285714285716,2.875
331,4,4,1,4,1,NA,4,4,1,1,0,4,4,2,NA,1,3.142857142857143,1.8571428571428572
332,0,4,NA,4,4,2,4,4,0,1,4,2,4,1,4,4,3.142857142857143,2.5
333,1,4,4,1,2,NA,NA,4,NA,1,1,4,4,4,4,1,2.6666666666666665,2.7142857142857144
335,4,NA,4,1,1,NA,4,NA,4,4,0,4,1,0,NA,NA,2.8,2.1666666666666665
340,NA,0,4,NA,4,NA,4,1,4,4,NA,NA,4,4,1,1,2.6,3
341,NA,4,4,1,4,4,0,4,4,4,4,1,NA,4,1,1,3,2.7142857142857144
342,NA,NA,1,2,4,4,0,1,NA,4,NA,1,1,NA,1,1,2,1.6
343,4,4,4,4,1,4,4,NA,NA,NA,0,4,NA,4,4,1,3.5714285714285716,2.6
346,4,4,1,1,4,1,1,1,1,1,1,NA,4,NA,4,4,2.125,2.5
348,4,NA,1,NA,4,NA,1,1,4,1,1,4,NA,NA,4,1,2.2,2.5
350,4,4,0,1,4,4,4,4,4,4,4,4,1,4,NA,0,3.125,3
351,1,4,NA,NA,NA,NA,4,4,4,0,NA,4,NA,1,1,0,3.25,1.6666666666666667
354,4,NA,1,4,4,4,4,NA,4,4,4,4,NA,NA,4,4,3.5,4
355,4,NA,4,4,4,4,1,4,4,4,1,1,4,4,NA,4,3.5714285714285716,3.142857142857143
356,4,4,4,4,1,4,4,0,4,NA,4,4,1,4,4,4,3.125,3.5714285714285716
359,4,4,0,4,NA,1,4,1,4,4,4,4,4,4,4,0,2.5714285714285716,3.5
365,4,NA,4,4,4,1,4,4,1,1,1,0,4,NA,4,1,3.5714285714285716,1.7142857142857142
367,1,NA,4,0,1,1,4,0,1,4,NA,1,4,4,4,4,1.5714285714285714,3.142857142857143
368,4,1,4,4,NA,4,4,1,4,4,4,NA,4,0,NA,4,3.142857142857143,3.3333333333333335
369,NA,1,NA,NA,4,NA,4,NA,1,0,4,NA,4,NA,4,4,3,2.8333333333333335
372,NA,1,4,4,4,4,1,1,1,4,1,1,4,2,1,4,2.7142857142857144,2.25
373,NA,4,4,1,1,4,NA,NA,4,4,4,NA,4,NA,NA,4,2.8,4
375,1,NA,1,4,NA,4,0,1,1,4,4,4,4,4,0,4,1.8333333333333333,3.125
379,0,NA,0,2,0,4,4,4,1,NA,NA,4,4,4,1,0,2,2.3333333333333335
380,NA,1,4,NA,4,1,1,1,NA,0,4,4,4,1,NA,1,2,2.3333333333333335
382,NA,4,1,4,NA,4,4,4,1,NA,0,1,NA,1,NA,NA,3.5,0.75
383,NA,NA,4,1,4,NA,4,1,NA,NA,1,4,4,4,4,4,2.8,3.5
384,1,0,1,NA,4,1,4,4,4,4,4,4,4,4,4,1,2.142857142857143,3.625
385,4,4,4,NA,1,NA,1,0,4,NA,1,0,4,4,4,4,2.3333333333333335,3
387,4,4,4,1,NA,4,4,1,NA,4,NA,1,NA,4,0,1,3.142857142857143,2
388,4,4,4,NA,1,0,4,1,4,4,4,1,NA,4,1,4,2.5714285714285716,3.142857142857143
389,1,4,4,4,4,4,4,0,4,4,1,4,NA,1,4,4,3.125,3.142857142857143
390,4,4,1,4,NA,0,4,NA,1,1,4,1,0,4,4,4,2.8333333333333335,2.375
391,4,1,4,1,NA,1,1,1,4,NA,4,4,1,4,NA,NA,1.8571428571428572,3.4
397,4,4,NA,NA,0,4,1,1,4,4,1,4,4,0,1,4,2.3333333333333335,2.75
399,4,0,4,1,4,0,4,4,NA,4,NA,1,4,1,NA,1,2.625,2.2
403,4,4,0,4,NA,4,0,1,NA,4,4,4,NA,4,1,NA,2.4285714285714284,3.4
404,4,4,4,1,4,1,NA,1,4,1,4,1,4,NA,NA,0,2.7142857142857144,2.3333333333333335
406,4,4,4,1,1,4,0,4,2,1,NA,NA,4,1,4,NA,2.75,2.4
407,4,4,4,4,NA,1,1,1,NA,4,NA,NA,1,4,1,NA,2.7142857142857144,2.5
409,4,4,1,1,4,4,1,1,4,4,1,4,2,4,1,4,2.5,3
410,1,1,4,2,NA,4,4,4,1,4,1,NA,NA,4,4,1,2.857142857142857,2.5
411,1,4,1,1,0,1,4,4,NA,4,4,NA,NA,NA,4,NA,2,4
413,0,1,1,4,1,4,1,4,1,NA,0,4,4,4,4,1,2,2.5714285714285716
415,4,4,4,NA,4,NA,4,4,4,1,4,4,NA,NA,4,4,4,3.5
417,1,4,4,NA,0,4,NA,NA,1,NA,4,1,4,1,NA,4,2.6,2.5
419,4,NA,1,1,1,1,4,NA,1,4,4,1,NA,4,4,4,2,3.142857142857143
422,NA,4,4,4,4,4,4,4,4,4,4,1,NA,NA,1,1,4,2.5
423,NA,0,4,1,4,1,1,4,4,4,NA,2,1,NA,1,1,2.142857142857143,2.1666666666666665
426,4,NA,NA,4,NA,NA,1,0,4,NA,1,1,1,4,4,4,2.25,2.7142857142857144
427,1,4,4,1,0,1,0,4,1,1,NA,NA,1,2,1,1,1.875,1.1666666666666667
430,4,4,NA,1,NA,2,4,4,4,4,4,1,4,4,NA,1,3.1666666666666665,3.142857142857143
432,NA,NA,1,4,0,NA,4,NA,0,1,4,4,1,4,4,NA,2.25,2.5714285714285716
433,NA,4,4,4,1,NA,4,4,1,4,NA,NA,1,1,1,1,3.5,1.5
434,1,NA,NA,1,0,NA,NA,1,NA,NA,2,4,4,4,1,4,0.75,3.1666666666666665
435,1,NA,4,4,4,0,4,1,1,NA,4,1,4,4,4,1,2.5714285714285716,2.7142857142857144
436,NA,NA,0,4,0,1,4,NA,4,4,1,4,1,NA,0,1,1.8,2.142857142857143
437,NA,4,4,4,4,1,4,1,4,4,NA,NA,4,1,NA,NA,3.142857142857143,3.25
438,4,4,NA,4,4,4,4,1,1,4,4,1,0,4,4,4,3.5714285714285716,2.75
439,4,1,4,4,NA,4,4,1,NA,4,4,4,NA,1,4,NA,3.142857142857143,3.4
440,4,4,4,4,4,1,1,1,1,4,1,NA,4,NA,NA,4,2.875,2.8
441,1,2,4,NA,4,2,1,4,4,4,4,4,4,4,4,4,2.5714285714285716,4
447,4,0,4,NA,4,4,4,4,4,4,4,4,4,1,4,4,3.4285714285714284,3.625
448,1,0,4,4,4,1,1,NA,1,NA,1,0,1,4,0,1,2.142857142857143,1.1428571428571428
449,1,4,NA,4,1,NA,1,4,4,4,1,4,1,4,1,4,2.5,2.875
451,4,4,4,4,1,2,NA,4,4,1,0,4,4,1,4,1,3.2857142857142856,2.375
454,4,1,4,1,1,4,4,1,NA,4,4,1,4,0,4,NA,2.5,2.8333333333333335
457,4,4,NA,1,4,NA,NA,4,1,1,NA,NA,4,4,0,NA,3.4,2
458,NA,4,4,1,1,4,1,NA,4,4,1,4,1,1,4,4,2.5,2.875
460,4,4,4,4,4,1,4,4,4,4,1,4,NA,4,4,NA,3.625,3.5
461,4,4,1,4,NA,NA,1,4,1,4,NA,4,4,1,1,4,3,2.7142857142857144
462,2,4,4,4,NA,0,4,0,NA,1,NA,4,4,1,4,4,2.5714285714285716,3
464,4,4,1,4,4,0,4,1,1,1,NA,0,4,4,NA,1,2.75,1.8333333333333333
466,NA,4,0,NA,0,NA,1,4,4,0,1,4,0,NA,4,0,1.8,1.8571428571428572
467,2,0,1,1,4,4,4,4,NA,0,NA,NA,1,4,NA,4,2.5,2.25
469,4,4,4,NA,1,1,2,4,1,NA,4,1,4,NA,4,1,2.857142857142857,2.5
473,1,NA,4,1,1,0,1,1,4,1,4,4,NA,1,NA,4,1.2857142857142858,3
474,1,NA,1,NA,4,NA,4,4,4,4,4,4,4,4,NA,4,2.8,4
475,4,4,4,4,NA,4,1,NA,1,4,4,1,4,2,1,NA,3.5,2.4285714285714284
477,1,4,4,1,NA,4,4,4,1,4,4,1,4,1,0,1,3.142857142857143,2
478,4,1,4,4,0,4,NA,4,NA,1,2,1,4,4,1,NA,3,2.1666666666666665
481,2,NA,4,4,4,NA,NA,4,4,NA,4,1,4,4,4,4,3.6,3.5714285714285716
483,1,1,4,NA,NA,1,NA,1,4,NA,1,4,NA,NA,4,4,1.6,3.4
487,NA,4,4,4,0,1,2,4,4,4,NA,4,4,1,NA,4,2.7142857142857144,3.5
491,4,4,4,NA,1,4,1,NA,4,4,NA,NA,4,NA,4,4,3,4
494,1,4,4,1,1,NA,1,1,4,1,4,4,NA,4,NA,4,1.8571428571428572,3.5
496,NA,4,4,4,4,1,4,NA,1,NA,1,4,4,1,1,NA,3.5,2
497,4,NA,4,4,NA,1,2,1,4,4,4,4,4,0,4,NA,2.6666666666666665,3.4285714285714284
498,1,1,4,NA,4,1,4,4,4,4,4,4,0,1,4,4,2.7142857142857144,3.125
499,4,4,4,4,0,4,4,0,4,1,4,4,NA,NA,4,4,3,3.5
500,1,NA,1,NA,4,1,1,4,NA,4,4,1,4,4,4,NA,2,3.5
501,4,4,0,4,NA,NA,0,1,1,1,4,NA,4,NA,NA,1,2.1666666666666665,2.2
504,4,4,4,0,4,4,1,NA,4,4,1,0,4,1,4,NA,3,2.5714285714285716
506,2,4,4,NA,4,4,4,4,4,NA,4,NA,1,NA,4,1,3.7142857142857144,2.8
507,NA,4,1,4,NA,NA,NA,1,NA,4,4,4,4,NA,4,4,2.5,4
